,Nb_iterations_sobol,Quasi : Sobol
0,128,0.09527331839384301
1,256,-0.004561187298746994
2,512,-0.008043749333912054
3,1024,-9.111328973476773e-05
4,2048,0.009329287987451806
5,4096,-0.0012163830119238384
