,Nb_iterations,Pseudo : Numpy,Quasi : Halton
0,200.0,-0.29426652703012257,0.05009928545672171
1,400.0,-0.08624531866485974,0.08541996130888307
2,600.0,-0.08588891199623694,-0.0520193214643605
3,800.0,0.1762367099036215,-0.001267311186252229
4,1000.0,-0.13698017570853827,0.00978743633400514
5,1200.0,-0.11633659135300789,-0.031393197720975596
6,1400.0,-0.18475097156830023,0.013548660284274927
7,1600.0,0.04110329515252342,0.0038084314754605053
8,1800.0,0.0049330420948412446,-0.017467580422676043
9,2000.0,-0.005161954526910151,-0.015990432921703768
10,2200.0,-0.01461307234194642,0.009008571614820049
11,2400.0,-0.026077386003716452,-0.007422549225330588
12,2600.0,-0.12490132922120534,0.00641195962709018
13,2800.0,0.17579970674853218,-0.002873094374131746
14,3000.0,0.1084254344224056,-0.005845645127757315
15,3200.0,0.08339894628014788,-0.0015888009286944005
16,3400.0,0.08711977482939837,-0.004891389478179686
17,3600.0,-0.07443358365948782,0.004379559120202714
18,3800.0,-0.048984959602406786,-9.828640046682935e-05
19,4000.0,-0.10852637334640969,0.0027744427341169775
