,Nb_iterations,Call_down_and_out,Call_EU
0,50,3.5825935792070664,2.1833406089530762
1,100,3.094826354262178,2.5305549234364446
2,150,3.0705077163230423,2.5148688522284743
3,200,2.79989014318934,3.1094152232599304
4,250,2.9023646395100093,3.3438632078858754
5,300,3.036602961225232,3.4727187567482165
6,350,3.0339125393156237,3.4192727906986446
7,400,3.125435070181972,3.3025232103869335
8,450,3.131048672177382,3.3015865763779058
9,500,3.1853342614570126,3.2898273260439534
10,550,3.2579842044900293,3.3511859347315283
11,600,3.3097683146145327,3.2817642777900007
12,650,3.3397925787414646,3.249686294619053
13,700,3.2848998874719757,3.3416742557892105
14,750,3.32778431422712,3.5053002159320545
15,800,3.298875388650278,3.442529750984168
16,850,3.307617463239714,3.4637472875761177
17,900,3.2875092185340042,3.4982566201506073
18,950,3.297732058717645,3.5004198736372456
19,1000,3.2094170189986393,3.535217959456445
20,1050,3.2392753825180853,3.545948315918393
21,1100,3.2439262979699803,3.557666935973432
22,1150,3.2853090785017405,3.5375609552260654
23,1200,3.23971612903945,3.5929714256136243
24,1250,3.2833865008297534,3.5585361628018846
25,1300,3.283360628979377,3.559238786438496
26,1350,3.263072436619957,3.561574067109754
27,1400,3.2324528880975554,3.538541071527318
28,1450,3.2436064967686065,3.5762772770121813
29,1500,3.254021891393924,3.569525052748054
30,1550,3.272317022460617,3.521418688683432
31,1600,3.315297841123612,3.5350421587023293
32,1650,3.289036518956922,3.5339711787407206
33,1700,3.29388571237323,3.5532656134926848
34,1750,3.281581383790683,3.634559801026381
35,1800,3.2699970153798974,3.5917252795924175
36,1850,3.2648191468238714,3.5509704613390594
37,1900,3.2628279987546556,3.536042964906429
38,1950,3.2613847279289514,3.539618426865431
39,2000,3.286510714821354,3.5364715591890428
40,2050,3.2983839005776643,3.5488914928925706
41,2100,3.2979602445038285,3.5717128457237086
42,2150,3.326301563717734,3.5887903182901435
43,2200,3.3157523823561754,3.6340061374872636
44,2250,3.3273486747174306,3.6209072002409224
45,2300,3.35274781744038,3.6272484586064393
46,2350,3.343330358312243,3.6067871525260684
47,2400,3.349728094998598,3.618180465013318
48,2450,3.348735575046376,3.610515254853214
49,2500,3.3286792287298366,3.620100413887937
50,2550,3.327279632138091,3.6223299833748612
51,2600,3.355409414014904,3.618916883226681
52,2650,3.3390208596599593,3.6161059322166857
53,2700,3.3277426145729705,3.6225310162359023
54,2750,3.303991816952526,3.6455510713036916
55,2800,3.30230117791644,3.6477617365340755
56,2850,3.3005460058318232,3.645264159377741
57,2900,3.284329795133095,3.6385070857999278
58,2950,3.307779105415613,3.6329819033520065
59,3000,3.310037732529237,3.629150028493812
60,3050,3.3138735699230306,3.6201523995325493
61,3100,3.3142490651851952,3.6325567458354953
62,3150,3.2905829584738044,3.6357074269760616
63,3200,3.2942480974142376,3.623992340031879
64,3250,3.2949214101572766,3.600022598401255
65,3300,3.289943474808581,3.588449832383583
66,3350,3.2746572219578582,3.5827742927312314
67,3400,3.2694838324044717,3.5843984451105597
68,3450,3.2802751454493166,3.567729582132601
69,3500,3.279754899909849,3.558634336916913
70,3550,3.287287782835871,3.5605603215254513
71,3600,3.276886846000367,3.5516364045988986
72,3650,3.275799966576745,3.5441593351007854
73,3700,3.276135067806363,3.5384494390439762
74,3750,3.276362146875422,3.5334701250065947
75,3800,3.2661512034506264,3.5320002901127006
76,3850,3.254545373638821,3.518287766934116
77,3900,3.2525541382075454,3.516663092212225
78,3950,3.25663759125542,3.5077838008022084
79,4000,3.2527052963713374,3.5008924204920264
80,4050,3.254023980951399,3.492776765546896
81,4100,3.239972276517404,3.495080092913846
82,4150,3.2536638847338,3.489694451797494
83,4200,3.2420585989111617,3.4800603231867524
84,4250,3.2388102668230494,3.4818055766062286
85,4300,3.2450287972447827,3.478980105709539
86,4350,3.2700144356468663,3.4893298000564013
87,4400,3.2585631446998815,3.5124812033700947
88,4450,3.2548800712095325,3.507270046263222
89,4500,3.257149329587086,3.497651092874689
90,4550,3.261432399623467,3.4984260992018177
91,4600,3.2653631363415445,3.503974718151797
92,4650,3.2545550540513553,3.4989016994753417
93,4700,3.2528042171973834,3.5148348126888913
94,4750,3.255302334638964,3.5332306033132412
95,4800,3.264275595108738,3.534176995715213
96,4850,3.253708351095704,3.534409488453008
97,4900,3.2568150226249117,3.554355715576113
98,4950,3.245798936862441,3.5655538462822425
99,5000,3.246545671164635,3.577688082724982
100,5050,3.2467344906628686,3.5841060841350183
101,5100,3.2524707408318396,3.583141824729951
