,Nb_iterations,Call_down_and_in
0,50,0.40533360567886995
1,100,0.2567728227693381
2,150,0.2916057183965947
3,200,0.24860883109352
4,250,0.20160438616335674
5,300,0.2025228324613992
6,350,0.2052018153377825
7,400,0.20381860239949048
8,450,0.19310324491987813
9,500,0.22641692304483185
10,550,0.23254373353760663
11,600,0.22196819577203192
12,650,0.2048937191741833
13,700,0.19863363360985586
14,750,0.19962420553757784
15,800,0.20543155584679115
16,850,0.22296105497602386
17,900,0.22197190857201174
18,950,0.21991235055923994
19,1000,0.21978999926042347
20,1050,0.2137059131472039
21,1100,0.21967735466642554
22,1150,0.21743428309600324
23,1200,0.20913496598746054
24,1250,0.20542652639625988
25,1300,0.2060968778446895
26,1350,0.20694154879979582
27,1400,0.20553651118242663
28,1450,0.2013819587497054
29,1500,0.20910536679476274
30,1550,0.20408023635749586
31,1600,0.19843352098551
32,1650,0.20417243392528545
33,1700,0.21325787012648356
34,1750,0.20716478812286973
35,1800,0.21031314820558428
36,1850,0.21390164670112014
37,1900,0.21967136363104664
38,1950,0.22033354420128604
39,2000,0.21988171994897276
40,2050,0.22091456664326897
41,2100,0.2230515769198753
42,2150,0.2181718227393524
43,2200,0.22264573911009072
44,2250,0.22728998190411515
45,2300,0.2223488953409822
46,2350,0.21978208396074747
47,2400,0.21958493489521647
48,2450,0.21601215730545317
49,2500,0.21482343156406095
50,2550,0.21634926787305067
51,2600,0.21907009191488497
52,2650,0.21796106763268214
53,2700,0.21916425550137997
54,2750,0.21517945085590032
55,2800,0.22115136321074377
56,2850,0.22017235646353958
57,2900,0.22211852817504218
58,2950,0.22112040652793025
59,3000,0.22171727794451196
60,3050,0.21975185095049313
61,3100,0.22102183205113496
62,3150,0.21933820983006094
63,3200,0.22418989439501852
64,3250,0.22132582745054943
65,3300,0.21797240582251082
66,3350,0.2147190863326226
67,3400,0.21342202702257912
68,3450,0.21767911481734076
69,3500,0.2186878281685909
70,3550,0.21722028162987228
71,3600,0.21770482006815337
72,3650,0.2168685841219531
73,3700,0.2153171077086936
74,3750,0.21591633504803381
75,3800,0.21307533063950707
76,3850,0.2231305513926354
77,3900,0.22623067615317113
78,3950,0.22386582099256402
79,4000,0.22560423781799097
80,4050,0.2236512150265341
81,4100,0.22330064959577225
82,4150,0.22693561703109316
83,4200,0.22555400467562814
84,4250,0.22290042815003253
85,4300,0.22350399806140447
86,4350,0.2209349865894343
87,4400,0.22122015913909637
88,4450,0.21893112757785713
89,4500,0.21718343156668246
90,4550,0.21870475721976554
91,4600,0.22050622283308743
92,4650,0.21938216195818183
93,4700,0.21982322052097242
94,4750,0.21750929188390955
95,4800,0.21723959688303793
96,4850,0.21803245730119258
97,4900,0.21833028620963751
98,4950,0.21651301169066162
99,5000,0.2200386153294162
100,5050,0.2202340065000726
101,5100,0.22706056005210365
102,5150,0.22958155854070625
103,5200,0.22896493016611108
104,5250,0.227407437838972
105,5300,0.22587185590135606
106,5350,0.22808844415716845
107,5400,0.2277206825560209
108,5450,0.22680143741802297
109,5500,0.22701466911993642
110,5550,0.23015988909238816
111,5600,0.23084130074826834
112,5650,0.2328621699673893
113,5700,0.23204282021388253
114,5750,0.23456149473331073
115,5800,0.23600772062140218
116,5850,0.23399056061609105
117,5900,0.23575891239249164
118,5950,0.2359885428421559
119,6000,0.23722245862240846
120,6050,0.23628504180250734
121,6100,0.23831526045531734
122,6150,0.23852465595443822
123,6200,0.23785629462582825
124,6250,0.23655241048042888
125,6300,0.23491896710802757
126,6350,0.23931452535340977
127,6400,0.23841182407892178
128,6450,0.24399757984567214
129,6500,0.24654943001511254
130,6550,0.2464124381891318
131,6600,0.2466606842830657
132,6650,0.24480609267191486
133,6700,0.2456829140606443
134,6750,0.24453791592016821
135,6800,0.24651809729687438
136,6850,0.24571316731192375
137,6900,0.2452556438653357
138,6950,0.24396394488946066
139,7000,0.24307312890409183
140,7050,0.2422701928148904
141,7100,0.24190634967016483
142,7150,0.24444168414111106
143,7200,0.24383384925808535
144,7250,0.24351619702256327
145,7300,0.2418482778648745
146,7350,0.24020305148484133
147,7400,0.23923483674986146
148,7450,0.23800682551223856
149,7500,0.236420113342157
150,7550,0.23643987190589266
151,7600,0.23715398007621974
152,7650,0.23572210369202634
153,7700,0.23475752247332893
154,7750,0.23357334649648934
155,7800,0.2343653792070128
156,7850,0.23395371788604932
157,7900,0.23348966360224024
158,7950,0.23419140695853297
159,8000,0.23273663855310422
160,8050,0.23232547656415914
161,8100,0.2332723149757037
162,8150,0.23193877152062176
163,8200,0.230699768923526
164,8250,0.23003240398813823
165,8300,0.228851863071199
166,8350,0.22825990642654706
167,8400,0.2306973574516462
168,8450,0.2315786775912126
169,8500,0.2314430980404087
170,8550,0.23136472657329524
171,8600,0.2303636137211019
172,8650,0.22919141391797732
173,8700,0.23083971452028998
174,8750,0.2303347243606084
175,8800,0.2302628816454925
176,8850,0.2309018163718181
177,8900,0.2317438114154304
178,8950,0.2304491532510984
179,9000,0.22991352345320804
180,9050,0.22916537205007506
181,9100,0.22978069650196806
182,9150,0.2292203048809078
183,9200,0.22991844778678117
184,9250,0.23151537584560788
185,9300,0.2302706695238573
186,9350,0.2313306080657682
187,9400,0.23136634143941953
188,9450,0.23128809238641956
189,9500,0.23158362550859643
190,9550,0.2305672478557279
191,9600,0.2300338442446977
192,9650,0.22960852215204533
193,9700,0.22957190119321877
194,9750,0.22976616387924712
195,9800,0.2303651012846456
196,9850,0.22980758922302685
197,9900,0.2307241989481965
198,9950,0.23184540948852964
199,10000,0.230686182441087
200,10050,0.23130965414891116
201,10100,0.2338691781610921
202,10150,0.2346682577894113
203,10200,0.23373990400187417
204,10250,0.23437883624431133
205,10300,0.23448539056978904
206,10350,0.233437680430231
207,10400,0.23302919992679427
208,10450,0.23360822638370227
209,10500,0.23307530340905017
210,10550,0.23296907137745201
211,10600,0.2323783847824208
212,10650,0.23198024124130343
213,10700,0.23089622142241883
214,10750,0.23027610840227325
215,10800,0.2307564575443585
216,10850,0.23000059489338037
217,10900,0.23132639400854002
218,10950,0.23132995099566367
219,11000,0.23117228807904971
220,11050,0.23012625962620334
221,11100,0.22908965485311233
222,11150,0.23029530630539885
223,11200,0.22951117814088728
224,11250,0.22966679508484858
225,11300,0.2295856320952575
226,11350,0.22936200952701197
